,files,folder
0,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0001.jpg,accordion
1,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0002.jpg,accordion
2,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0003.jpg,accordion
3,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0004.jpg,accordion
4,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0005.jpg,accordion
5,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0006.jpg,accordion
6,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0007.jpg,accordion
7,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0008.jpg,accordion
8,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0009.jpg,accordion
9,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0010.jpg,accordion
10,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0011.jpg,accordion
11,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0012.jpg,accordion
12,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0013.jpg,accordion
13,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0014.jpg,accordion
14,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0015.jpg,accordion
15,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0016.jpg,accordion
16,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0017.jpg,accordion
17,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0018.jpg,accordion
18,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0019.jpg,accordion
19,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0020.jpg,accordion
20,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0021.jpg,accordion
21,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0022.jpg,accordion
22,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0023.jpg,accordion
23,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0024.jpg,accordion
24,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0025.jpg,accordion
25,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0026.jpg,accordion
26,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0027.jpg,accordion
27,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0028.jpg,accordion
28,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0029.jpg,accordion
29,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0030.jpg,accordion
30,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0031.jpg,accordion
31,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0032.jpg,accordion
32,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0033.jpg,accordion
33,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0034.jpg,accordion
34,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0035.jpg,accordion
35,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0036.jpg,accordion
36,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0037.jpg,accordion
37,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0038.jpg,accordion
38,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0039.jpg,accordion
39,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0040.jpg,accordion
40,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0041.jpg,accordion
41,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0042.jpg,accordion
42,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0043.jpg,accordion
43,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0044.jpg,accordion
44,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0045.jpg,accordion
45,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0046.jpg,accordion
46,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0047.jpg,accordion
47,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0048.jpg,accordion
48,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0049.jpg,accordion
49,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0050.jpg,accordion
50,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0051.jpg,accordion
51,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0052.jpg,accordion
52,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0053.jpg,accordion
53,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0054.jpg,accordion
54,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\accordion\image_0055.jpg,accordion
0,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0001.jpg,airplanes
1,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0002.jpg,airplanes
2,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0003.jpg,airplanes
3,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0004.jpg,airplanes
4,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0005.jpg,airplanes
5,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0006.jpg,airplanes
6,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0007.jpg,airplanes
7,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0008.jpg,airplanes
8,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0009.jpg,airplanes
9,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0010.jpg,airplanes
10,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0011.jpg,airplanes
11,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0012.jpg,airplanes
12,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0013.jpg,airplanes
13,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0014.jpg,airplanes
14,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0015.jpg,airplanes
15,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0016.jpg,airplanes
16,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0017.jpg,airplanes
17,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0018.jpg,airplanes
18,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0019.jpg,airplanes
19,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0020.jpg,airplanes
20,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0021.jpg,airplanes
21,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0022.jpg,airplanes
22,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0023.jpg,airplanes
23,C:\Users\info-06\Desktop\Game#\client work\bhavya\cnn\101_ObjectCategories\airplanes\image_0024.jpg,airplanes
